,CV_Mean_R2,CV_Std_R2,MAE,MSE,R2
STACKING_LINEAR_WITH_SVR_RF_KNN,0.8373984960169073,0.15412825877043365,0.27498903921477713,0.15323576495635327,0.8299165146822061
STACKING_LINEAR_WITH_SVR_GB_KNN,0.7974832805287126,0.17083797602475448,0.27247519136680826,0.11156263730863739,0.8761714525972268
STACKING_LINEAR_WITH_BAYESIAN_RF_GB,0.7472280592128322,0.2257393278889889,0.40739237362668124,0.595457713580007,0.3390738558070986
STACKING_LINEAR_WITH_BAYESIAN_RF_KNN,0.7797976287770403,0.1550917784984614,0.4278935583898944,0.5854604932847285,0.3501702344612273
STACKING_LINEAR_WITH_BAYESIAN_GB_KNN,0.6979588703351128,0.22578018670420866,0.41184972842490897,0.6494917607955852,0.279098959745011
STACKING_LINEAR_WITH_RF_GB_KNN,0.7487697788464958,0.26224790364484046,0.4235265470290578,0.5801188672900572,0.3560991529920715
STACKING_LINEAR_WITH_RIDGE_SVR_BAYESIAN_RF,0.6398764318554008,0.2835768487497426,0.1980734647900136,0.07802714224065675,0.9133940545442624
STACKING_LINEAR_WITH_RIDGE_SVR_BAYESIAN_GB,0.45754807289473154,0.5790135095854668,0.22306990278684946,0.12153094240852037,0.8651071682600673
STACKING_LINEAR_WITH_RIDGE_SVR_BAYESIAN_KNN,0.8119550327442472,0.18067157978777512,0.24949194921672616,0.11913498612231305,0.8677665513090786
STACKING_LINEAR_WITH_RIDGE_SVR_RF_GB,0.6832841890496433,0.2814830120696223,0.224096850035466,0.10049182288760233,0.8884594631838707
STACKING_LINEAR_WITH_RIDGE_SVR_RF_KNN,0.782924611478127,0.2343201607568734,0.2742243425700649,0.15355127977856636,0.829566310141858
STACKING_LINEAR_WITH_RIDGE_SVR_GB_KNN,0.6748879812431307,0.3219596517076628,0.26795969776645795,0.11086979062448632,0.8769404752784844
STACKING_LINEAR_WITH_RIDGE_BAYESIAN_RF_GB,0.6709416328741167,0.3357321216802344,0.3820460009004325,0.569972950384577,0.36736057691304935
STACKING_LINEAR_WITH_RIDGE_BAYESIAN_RF_KNN,0.6914222607728393,0.27491283381613785,0.42312674197453953,0.5752823697529135,0.3614674060110886
STACKING_LINEAR_WITH_RIDGE_BAYESIAN_GB_KNN,0.661492022343391,0.33941854846984787,0.37695677455378923,0.584292079652085,0.35146711096384686
STACKING_LINEAR_WITH_RIDGE_RF_GB_KNN,0.6722357833567323,0.37362780342696006,0.4241907445905353,0.5832086923236125,0.35266961282643894
STACKING_LINEAR_WITH_SVR_BAYESIAN_RF_GB,0.707649368752126,0.2982196524764511,0.21296060743979503,0.09482046924858584,0.8947543617257903
STACKING_LINEAR_WITH_SVR_BAYESIAN_RF_KNN,0.7900774027975455,0.23773439332202367,0.2613968676142041,0.13663524056291335,0.8483422069332516
STACKING_LINEAR_WITH_SVR_BAYESIAN_GB_KNN,0.7345771661146528,0.2776487964160736,0.25977091142901204,0.10801645296095848,0.8801075271396447
STACKING_LINEAR_WITH_SVR_RF_GB_KNN,0.7859865363520786,0.17872254682732913,0.2989240880711782,0.14975573488732233,0.8337791615213437
STACKING_LINEAR_WITH_BAYESIAN_RF_GB_KNN,0.7448154883647647,0.22690904211429688,0.4217290517791816,0.589587099537821,0.34558992271572797
STACKING_LINEAR_WITH_RIDGE_SVR_BAYESIAN_RF_GB,0.4048846487541494,0.6800229462571498,0.19237352740755861,0.08707070184526391,0.9033561881384079
STACKING_LINEAR_WITH_RIDGE_SVR_BAYESIAN_RF_KNN,0.7091590848232814,0.2830263727411735,0.25049548843676717,0.12121392614004146,0.8654590393252894
STACKING_LINEAR_WITH_RIDGE_SVR_BAYESIAN_GB_KNN,0.4819155137288361,0.6220220300650213,0.2539155966583571,0.10651244710595953,0.8817768930205763
STACKING_LINEAR_WITH_RIDGE_SVR_RF_GB_KNN,0.6435208336133834,0.3491841429895806,0.3000607292825934,0.15063824772098922,0.8327996195806584
STACKING_LINEAR_WITH_RIDGE_BAYESIAN_RF_GB_KNN,0.6863168224346836,0.3628004802227479,0.4066718629591724,0.5678763642809285,0.3696876751063397
STACKING_LINEAR_WITH_SVR_BAYESIAN_RF_GB_KNN,0.7305998701502674,0.28136912607114184,0.28303495471448376,0.13473321330314558,0.8504533552386286
